Product Name,Count,Percentage
rk322x_box,1185291,26.74%
r34az,350188,7.90%
TVBOX,336359,7.59%
Hi3751V352E_16BIT_DMO,299258,6.75%
Ateko,176881,3.99%
walley,146856,3.31%
SmartTV,128024,2.89%
mt5867_eu,107249,2.42%
rk3326_industry,105926,2.39%
Hi3751V352E_DMO,86970,1.96%
(empty),75214,1.70%
rk3326_sgo,68022,1.53%
X96Q,67783,1.53%
SmartTV2352E_DEV,61261,1.38%
SmartTV2560F_DEV,60862,1.37%
SMARTPHONE,59670,1.35%
AndroidTV,57370,1.29%
rk312x,57026,1.29%
TB009KA,54176,1.22%
Hi3751V352F_16BIT_DMO,52434,1.18%
petrel_p1,50267,1.13%
SmartTV2352F_DEV,50153,1.13%
p281,48092,1.08%
Hi3751V352F_DMO,43526,0.98%
oppen,36824,0.83%
blueline,34706,0.78%
franklin,32726,0.74%
rk3566_sgo,27878,0.63%
RealtekATV,27819,0.63%
X96Q PRO,22694,0.51%
rk3528_box,21385,0.48%
mt5867_sa,20485,0.46%
PUBLIC_MSTAR_358_W,19914,0.45%
TVR3,19780,0.45%
TX6698,19065,0.43%
D95G,18392,0.41%
SmartTV2352F_16BIT_DMO,18193,0.41%
dolphin_fvd_p1,17556,0.40%
SmartTV2352E_16BIT_DMO,17369,0.39%
Q96,16000,0.36%
M98 PRO,15271,0.34%
r34a5,14001,0.32%
m7332_eu,13400,0.30%
TX60PRO,13347,0.30%
mt5862_bga_1g,13219,0.30%
Hi3751V352E_16BIT_DMO_1G,11671,0.26%
Transpeed,9020,0.20%
I96 8K,8416,0.19%
Q96MAX,8171,0.18%
X96mini,8037,0.18%
cvt_mt5863_eu,7935,0.18%
TV98,7335,0.17%
Hi3751V560_DMOH,7168,0.16%
tx90pro,6862,0.15%
M98-M9,6443,0.15%
IBEK,4681,0.11%
be30a3,4609,0.10%
newton,4472,0.10%
soul,4101,0.09%
SmartTV2560_DMOH,4079,0.09%
D9Q,4059,0.09%
android TV,3969,0.09%
MXQ-4K,3752,0.08%
X96QPRO,3431,0.08%
tx9 pro max,3328,0.08%
PeiningTV,3316,0.07%
t950s_be311,3242,0.07%
TV2026M26,3045,0.07%
KingsPro,2802,0.06%
M3,2778,0.06%
LU-V78,2477,0.06%
IM2,2415,0.05%
sstar_pioneer5_sdp,2277,0.05%
I96 D1 ATV,2233,0.05%
adt3,2132,0.05%
Hi3751V560_DMOB,2129,0.05%
TX100PRO5G,2102,0.05%
TX3mini,1996,0.05%
TX30PRO 5G,1880,0.04%
TV BOX,1814,0.04%
at30a7,1804,0.04%
REF-V808,1799,0.04%
TX9 PRO,1714,0.04%
Hi3751V352E_DMO_2G_16G_EMMC,1687,0.04%
Smart TV,1657,0.04%
M626,1648,0.04%
MXQPRO,1585,0.04%
mt5862,1572,0.04%
Prime OTT Pro P10,1565,0.04%
M1,1542,0.03%
TX100 PRO 5G,1518,0.03%
TV2025M25,1502,0.03%
TX100 pro,1450,0.03%
M2,1448,0.03%
Hi3751V351_DMO,1415,0.03%
G1,1411,0.03%
eros_p1,1408,0.03%
Stream Core,1398,0.03%
F-20E,1380,0.03%
GameBox,1372,0.03%
m5621,1331,0.03%
TX2000PRO-5G,1318,0.03%
KKRAO,1260,0.03%
D9R1,1207,0.03%
sstar_pioneer5_sdp_lr,1153,0.03%
ohh,1150,0.03%
M98PRO,1135,0.03%
TX500PRO,1120,0.03%
KEZU,1081,0.02%
PROBOX,1068,0.02%
bennet_dvb32,1057,0.02%
p291,1049,0.02%
mt5867_us,1047,0.02%
TX30 Pro,1045,0.02%
cv6a358_international_dvb32,1043,0.02%
GUDDI,1035,0.02%
aosp_cranberry_atsc,1009,0.02%
V88,1007,0.02%
Super Prime SP10,994,0.02%
V96Q,992,0.02%
TX100PRO,983,0.02%
Hi3751V352E_16BIT_DMO_4G_EMMC,970,0.02%
AN-218,944,0.02%
KM13,932,0.02%
Mecool,929,0.02%
TX20PRO,893,0.02%
m7332_1g_eu,837,0.02%
TX9,828,0.02%
V88mini,806,0.02%
Tamam OTT,791,0.02%
MAX OTT PRO,765,0.02%
ampere,762,0.02%
TX10PRO,761,0.02%
cvt_mt5863_us,733,0.02%
faraday,713,0.02%
Hi3751V352E_DDR3_DMO,713,0.02%
myair tv,679,0.02%
2831,672,0.02%
BT20,646,0.01%
TX200PRO,646,0.01%
HKC,641,0.01%
aosp_cranberry,640,0.01%
microsoft,624,0.01%
MX9PLUS,623,0.01%
Hi3751V352E_16BIT_1024M_DMO,611,0.01%
p291_iptv,609,0.01%
TV2025M26,579,0.01%
2841,569,0.01%
TX50 pro,565,0.01%
TX3 Pro,557,0.01%
X88plus,551,0.01%
TX1000PRO-5G,550,0.01%
Q96 STICK,539,0.01%
RT2831,529,0.01%
D9Q5G,522,0.01%
x30a4,491,0.01%
TX20 pro,475,0.01%
TX40 pro,469,0.01%
H-X,442,0.01%
TX30PRO-5G,426,0.01%
oneday,426,0.01%
HEMCO,408,0.01%
I96KING,407,0.01%
m7332_eu_1g,403,0.01%
I968KPLUS,397,0.01%
KM7SE,396,0.01%
LOOK-Y1,367,0.01%
cvt_mt5886_eu_1g,357,0.01%
tTX50 pro,351,0.01%
mt5862_512m,346,0.01%
D9 Max 5G-A1,346,0.01%
TX3 Mini-A3,339,0.01%
Binge,332,0.01%
m5621_sa,321,0.01%
BP-TV130,318,0.01%
MDTV,312,0.01%
V1PRO,310,0.01%
4K BOX,302,0.01%
KSM,300,0.01%
H98MINI,298,0.01%
ASG,279,0.01%
G1PRO,271,0.01%
RT2861,266,0.01%
Android TV,263,0.01%
ohm,259,0.01%
MICOM,248,0.01%
G96mini,245,0.01%
petrel_fvd_p1,235,0.01%
2871,235,0.01%
RT2841,233,0.01%
BLOW,227,0.01%
UNT402A,224,0.01%
cvt_mt5886_sa,219,0.00%
MXBOX,218,0.00%
My Stick,210,0.00%
810,204,0.00%
GK6323V100C,198,0.00%
Q96L2,197,0.00%
B860HV5_Telkom,197,0.00%
MECOOL K5,186,0.00%
M96 tv stick,180,0.00%
TX9PRO,179,0.00%
Model . ilink 112,178,0.00%
I96 D3,177,0.00%
TX400Pro,177,0.00%
VBOX,173,0.00%
ATV,167,0.00%
Q8,165,0.00%
M98-Y2,158,0.00%
HG680,158,0.00%
TX80PRO,153,0.00%
rk3326_go,152,0.00%
MXQPLUS,150,0.00%
MX10,150,0.00%
CM311-5-ZG,137,0.00%
B860AV5.1-M2,135,0.00%
SBOX1,134,0.00%
M96-H3,132,0.00%
368P,127,0.00%
cvt_mt5863_col,125,0.00%
cvt_mt5886_eu,118,0.00%
bennet,115,0.00%
Model . ilink 113,114,0.00%
b0qxxx,113,0.00%
TVR3-s,112,0.00%
XBOX,111,0.00%
GAME BOX,109,0.00%
V96mini,109,0.00%
Q+11,108,0.00%
V96Q PRO,105,0.00%
rockchip001,102,0.00%
aosp_cv6a538_international,102,0.00%
tx9-pro-max,102,0.00%
TX60 PRO,101,0.00%
amazon IPTV,101,0.00%
Royal Platinum,100,0.00%
aosp_syinix_8g,98,0.00%
V96Q SE,97,0.00%
X2,93,0.00%
t9plus_BOSSProjector_CA_en,93,0.00%
MiniRed,91,0.00%
TV STICK,88,0.00%
sailfish,87,0.00%
TVBOXAW,86,0.00%
FO-R12,86,0.00%
beyond1ltexx,81,0.00%
q201,79,0.00%
MXQ PRO,78,0.00%
TX6898,78,0.00%
raven,78,0.00%
galilei,77,0.00%
EC6110M,76,0.00%
HG680-MC,76,0.00%
ATVBOX,76,0.00%
rockchip014,75,0.00%
rk3399_mid,73,0.00%
beyond2ltexx,73,0.00%
rk3128_box,71,0.00%
SKYLINE,71,0.00%
Rombica,71,0.00%
CM311-5s-ZG,71,0.00%
dolpin_fvd_p1,70,0.00%
Hi3751V350_DMO,69,0.00%
ap202,69,0.00%
m7332_sa,68,0.00%
AiBox,67,0.00%
android_tv_box,65,0.00%
TV-211Z,65,0.00%
aosp_vinga_8g,64,0.00%
Myairtv,63,0.00%
StarSat,62,0.00%
MX10BOX,62,0.00%
rk3528_box_32,61,0.00%
t9plus_Merlin_en,61,0.00%
TX10mini,59,0.00%
aosp_daewoo_8g,58,0.00%
ISTRONG BOX,58,0.00%
ap201,57,0.00%
starsat,57,0.00%
MXQ X,56,0.00%
ah212,55,0.00%
rk3518_box_32,54,0.00%
DOOM,53,0.00%
Tx3pro,53,0.00%
rk3328_box,53,0.00%
telefunken-rtk2851-hikeen,53,0.00%
MXQ-JOY-69,53,0.00%
provision_hw3,52,0.00%
TRV-Xstream-SeRu,52,0.00%
Hi3751V352E_16BIT_512M_DMO,51,0.00%
ALCAD,51,0.00%
rk3576_box,51,0.00%
aosp_pineappleCMCC_province_nontee,50,0.00%
LINK,49,0.00%
TF-LED43S96T2SU,49,0.00%
TOX1,48,0.00%
rk356x_box,48,0.00%
amazon,48,0.00%
p3sxxx,48,0.00%
YHTV,48,0.00%
CM311-1sa-ZG2,47,0.00%
t950s_be30ak,46,0.00%
apollo_p1_arm64,46,0.00%
rk3288,45,0.00%
t9plus_wwt_en,44,0.00%
NE2211,43,0.00%
2861,43,0.00%
M98mini,43,0.00%
S905l3a,42,0.00%
mt9633,41,0.00%
TOX3,41,0.00%
I96 Q1,40,0.00%
AndroidTv,40,0.00%
NL5H00X,39,0.00%
bl14plus_md_portronics_en,39,0.00%
t9plus_INNOVATIVE_en,39,0.00%
MXQM:I,39,0.00%
MXQ PRO 8K,39,0.00%
Hi3751V352E_16BIT_DMO_D3,38,0.00%
atvX,38,0.00%
rockchip005,38,0.00%
OnePlus5,38,0.00%
u211,38,0.00%
CM311-5-CH,37,0.00%
aosp_wst_8g_isdb,37,0.00%
OT-DVB31,36,0.00%
TF-LED43S08T2SU,36,0.00%
F-1242,36,0.00%
TX100,35,0.00%
athena_p7,35,0.00%
MK PRO Ultimate,35,0.00%
AL Gini  TV Box,35,0.00%
cmcc_jiangsu,35,0.00%
X96Q_Pro1,34,0.00%
PROJECTOR,34,0.00%
K8,34,0.00%
KM15,33,0.00%
TF-LED55S10T2SU,33,0.00%
isinbox,32,0.00%
ah224,32,0.00%
r34ay,31,0.00%
f8plus_unic_en,31,0.00%
Smart_Projector,31,0.00%
rockchip002,30,0.00%
rockchip006,30,0.00%
tv_hi3751v660,29,0.00%
B863AV3.1-M2,28,0.00%
TX365Pro,28,0.00%
walleye,28,0.00%
R90,28,0.00%
Amlogic_RC,27,0.00%
Annkelplus,27,0.00%
K32DLX10HS,26,0.00%
X3,26,0.00%
sstar_pioneer5_smc_cn_lr,26,0.00%
Hi3751V352F_DMO_Export_zhixiang,25,0.00%
D9,25,0.00%
jialiang,25,0.00%
MK Crystal,25,0.00%
YYBox,25,0.00%
K32DLM8HS,24,0.00%
rk3566_r,24,0.00%
t9plus_md_en,23,0.00%
aosp_apple_8g,23,0.00%
WORLD TV Box,23,0.00%
SA044,23,0.00%
2700,22,0.00%
h713m_tuna_p3,22,0.00%
TXCZ_RY001,22,0.00%
dolphin_p1,22,0.00%
K40DLM8FS,22,0.00%
VESTA_SMART_TV,21,0.00%
DIAMOND,21,0.00%
dream2ltexx,21,0.00%
TF-LED65S02T2SU,21,0.00%
GL70181,21,0.00%
S905L3B,21,0.00%
X98mini,20,0.00%
Z8mini,20,0.00%
X98Q,19,0.00%
TF-LED58S03T2SU,19,0.00%
rk3318,19,0.00%
S905L3-3B,19,0.00%
spirit,19,0.00%
p230,18,0.00%
TX30PRO5G,18,0.00%
rockchip049,18,0.00%
vBox-3A01,18,0.00%
m201,18,0.00%
PrimesuperHD,18,0.00%
z3qksx,17,0.00%
iot_rpi3,17,0.00%
Q3,17,0.00%
Hi3798MV100,16,0.00%
f8plus_md_en,16,0.00%
m7642,16,0.00%
M7,16,0.00%
TF-LED58S04T2SU,16,0.00%
TF-LED65S10T2SU,16,0.00%
B866FV1_1_Telkom,15,0.00%
rk3328,15,0.00%
tyson,15,0.00%
AVIDUS T99,15,0.00%
BERKLAYS,15,0.00%
MXQ pro 8k,15,0.00%
TF-LED50S53T2SU,15,0.00%
CM311-5s-CH,15,0.00%
Drago TV Box,15,0.00%
rk3566_box,15,0.00%
OLTO,15,0.00%
TV-BOX,15,0.00%
H96max rk 3318,15,0.00%
43ULX9060T2,14,0.00%
MYAIRTV,14,0.00%
M8,14,0.00%
Hi3751V560_5605RX58_ZXW_AUTO_S_K,14,0.00%
f8plus_innovative_en,14,0.00%
ross_atv,14,0.00%
petrel_h603,14,0.00%
CM311-5-YS,14,0.00%
rk3399_Android10,13,0.00%
SmartTV352E_1024M,13,0.00%
Hi3751V352F_SXK,13,0.00%
SKD10280720,13,0.00%
Hi3798MV310,13,0.00%
S905L3A,13,0.00%
TF-LED55S20T2SU,13,0.00%
MiTV-AFKR0,13,0.00%
CM211-1,13,0.00%
M98-M5,12,0.00%
TV98 5G,12,0.00%
freemax,12,0.00%
Tanix ultra pro max,12,0.00%
TF-LED32S74T2S,12,0.00%
android_x86_64,12,0.00%
SM-G9750,12,0.00%
sberbox,11,0.00%
LIBEPO TB20,11,0.00%
MyRepublic_STB_2023,11,0.00%
marconi,11,0.00%
am30am,11,0.00%
aosp_challen_8g,11,0.00%
Hi3751V352F_DMO_Export_zhixiang_F1,11,0.00%
POLAR_WK_P43U51T2SCSM,11,0.00%
p212,11,0.00%
TF-LED50S02T2SU,11,0.00%
ASUS_I005DA,11,0.00%
MyTV,11,0.00%
MW-F88,11,0.00%
odroidc4,10,0.00%
bl14_md_en,10,0.00%
rk3568_r,10,0.00%
TX1000PRO 5G,10,0.00%
